date,ESGU11_open,ESGU11_high,ESGU11_low,ESGU11_close,ESGU11_tick_volume,ESGU11_spread,ESGU11_real_volume,ELAS11_open,ELAS11_high,ELAS11_low,ELAS11_close,ELAS11_tick_volume,ELAS11_spread,ELAS11_tick_volume,HASH11_open,HASH11_high,HASH11_low,HASH11_close,HASH11_tick_volume,HASH11_spread,HASH11_tick_volume,BITH11_open,BITH11_high,BITH11_low,BITH11_close,BITH11_tick_volume,BITH11_spread,BITH11_tick_volume,CRPT11_open,CRPT11_high,CRPT11_low,CRPT11_close,CRPT11_tick_volume,CRPT11_spread,CRPT11_tick_volume
2022-03-23 10:36:00,8.4,8.4,8.32,8.32,2,1,118,103.81,103.82,103.81,103.82,3,1,3,60.53,60.57,60.44,60.44,37,1,37,52.8,52.95,52.8,52.95,4,1,4,8.5,8.5,8.5,8.5,1,1,1
2022-03-23 10:53:00,8.29,8.29,8.29,8.29,1,1,1,103.86,103.86,103.86,103.86,2,1,2,60.47,60.51,60.44,60.51,15,1,15,53.0,53.15,53.0,53.15,4,1,4,8.5,8.5,8.5,8.5,2,1,2
2022-03-23 11:18:00,8.28,8.28,8.28,8.28,1,1,1,103.8,103.8,103.76,103.76,2,1,2,60.51,60.51,60.46,60.48,298,1,298,53.2,53.2,53.2,53.2,1,1,1,8.45,8.45,8.45,8.45,1,1,1
2022-03-23 11:29:00,8.28,8.28,8.28,8.28,1,1,2,103.76,103.79,103.76,103.79,2,1,2,60.48,60.63,60.48,60.59,15,1,15,53.2,53.2,53.2,53.2,2,1,2,8.45,8.45,8.45,8.45,1,1,1
2022-03-23 11:51:00,8.28,8.28,8.28,8.28,1,1,1,103.76,103.78,103.76,103.78,2,1,2,60.67,60.69,60.65,60.66,12,1,12,53.15,53.15,53.15,53.15,1,1,1,8.45,8.45,8.45,8.45,1,1,1
2022-03-23 11:54:00,8.28,8.28,8.28,8.28,1,1,1,103.79,103.79,103.78,103.78,2,1,2,60.65,60.69,60.6,60.69,30,1,30,53.2,53.2,53.2,53.2,1,1,1,8.45,8.45,8.45,8.45,1,1,1
2022-03-23 15:37:00,8.23,8.23,8.23,8.23,1,1,29,103.8,103.83,103.8,103.82,3,1,3,60.64,60.7,60.62,60.7,26,1,26,53.2,53.2,53.2,53.2,1,1,1,8.44,8.44,8.44,8.44,1,1,1
2022-03-23 15:52:00,8.23,8.23,8.23,8.23,2,1,101,103.8,103.8,103.78,103.78,2,1,2,60.8,60.8,60.77,60.79,25,1,25,53.2,53.2,53.2,53.2,1,1,1,8.41,8.42,8.41,8.42,3,1,3
2022-03-23 16:40:00,8.18,8.19,8.18,8.19,4,1,351802,103.73,103.73,103.71,103.71,2,1,2,60.79,60.79,60.74,60.74,28,1,28,53.19,53.19,53.19,53.19,2,1,2,8.45,8.45,8.45,8.45,1,1,1
2022-03-24 12:19:00,8.21,8.21,8.21,8.21,1,1,2,103.74,103.74,103.74,103.74,2,1,2,60.73,60.73,60.6,60.6,30,1,30,53.19,53.19,53.08,53.08,2,1,2,8.35,8.35,8.35,8.35,1,1,1
