date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,TRIG11_open,TRIG11_high,TRIG11_low,TRIG11_close,TRIG11_tick_volume,TRIG11_spread,TRIG11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume
2021-09-28 10:38:00,8.74,8.74,8.74,8.74,2,1,10,,,,,,,,44.03,44.03,44.03,44.03,1.0,1.0,1.0,283.34,283.5,283.29,283.49,39,1,39,10.14,10.14,10.14,10.14,1.0,1.0,1.0
2021-09-28 10:41:00,8.74,8.74,8.74,8.74,1,1,85,,,,,,,,44.0,44.0,43.99,43.99,2.0,1.0,2.0,283.43,283.48,283.21,283.29,47,1,47,10.11,10.11,10.11,10.11,1.0,1.0,1.0
2021-09-28 10:44:00,8.77,8.78,8.77,8.78,2,1,130,,,,,,,,43.88,43.88,43.88,43.88,1.0,1.0,1.0,283.21,283.28,283.2,283.27,24,1,24,10.07,10.07,10.07,10.07,1.0,1.0,1.0
2021-09-28 10:46:00,8.75,8.75,8.75,8.75,1,1,50,,,,,,,,43.82,43.82,43.82,43.82,1.0,1.0,1.0,283.27,283.3,283.18,283.3,18,1,18,10.05,10.05,10.05,10.05,1.0,1.0,1.0
2021-09-28 10:47:00,8.75,8.75,8.75,8.75,2,1,15,,,,,,,,43.82,43.82,43.82,43.82,1.0,1.0,1.0,283.3,283.45,283.3,283.37,25,1,25,10.05,10.05,10.05,10.05,1.0,1.0,1.0
2021-09-28 10:53:00,8.73,8.73,8.73,8.73,1,1,1,,,,,,,,43.74,43.74,43.73,43.73,2.0,1.0,2.0,283.39,283.49,283.3,283.47,37,1,37,10.01,10.01,10.01,10.01,1.0,1.0,1.0
2021-09-28 11:01:00,8.73,8.73,8.73,8.73,2,1,54,,,,,,,,43.56,43.56,43.5,43.5,2.0,1.0,2.0,283.43,283.58,283.43,283.58,21,1,21,10.05,10.05,10.05,10.05,1.0,1.0,1.0
2021-09-28 11:10:00,8.71,8.71,8.71,8.71,1,1,50,,,,,,,,43.5,43.5,43.41,43.49,5.0,1.0,5.0,283.57,283.8,283.57,283.8,24,1,24,10.05,10.05,10.05,10.05,1.0,1.0,1.0
2021-09-28 11:11:00,8.7,8.7,8.7,8.7,1,1,1,,,,,,,,43.15,43.2,43.15,43.2,2.0,1.0,2.0,283.72,283.92,283.72,283.8,25,1,25,10.05,10.05,10.05,10.05,1.0,1.0,1.0
2021-09-28 11:13:00,8.69,8.69,8.69,8.69,1,1,50,,,,,,,,43.16,43.16,43.16,43.16,1.0,1.0,1.0,283.78,283.8,283.64,283.79,34,1,34,10.04,10.04,10.04,10.04,1.0,1.0,1.0
